Id,Category
1,8
10,45
100,25
101,61
102,19
103,20
104,21
105,10
106,22
107,31
108,45
109,40
11,37
110,22
111,8
112,30
113,36
114,51
115,40
116,59
117,39
118,13
119,28
12,21
120,21
121,20
122,59
123,9
124,9
125,22
126,3
127,19
128,21
129,25
13,59
130,37
131,10
132,14
133,18
134,28
135,23
136,10
137,28
138,12
139,61
14,9
140,28
141,1
142,58
143,56
144,56
145,31
146,22
147,61
148,8
149,38
15,28
150,7
151,20
152,36
153,28
154,19
155,17
156,25
157,41
158,38
159,24
16,38
160,41
161,61
162,17
163,61
164,46
165,28
166,9
167,10
168,48
169,9
17,25
170,46
171,17
172,28
173,12
174,28
175,22
176,28
177,27
178,54
179,28
18,13
180,34
181,14
182,21
183,10
184,9
185,25
186,51
187,7
188,38
189,18
19,28
190,8
191,35
192,38
193,30
194,22
195,59
196,4
197,46
198,59
199,19
2,18
20,34
200,27
201,35
202,36
21,4
22,15
23,1
24,9
25,30
26,13
27,45
28,4
29,32
3,25
30,17
31,34
32,15
33,60
34,36
35,32
36,3
37,46
38,27
39,54
4,51
40,34
41,49
42,24
43,29
44,4
45,25
46,39
47,45
48,25
49,56
5,44
50,16
51,32
52,30
53,38
54,39
55,40
56,34
57,38
58,29
59,56
6,7
60,10
61,13
62,56
63,17
64,12
65,39
66,13
67,31
68,54
69,0
7,9
70,46
71,35
72,30
73,36
74,41
75,3
76,15
77,34
78,7
79,28
8,0
80,3
81,40
82,14
83,40
84,13
85,30
86,46
87,38
88,6
89,1
9,54
90,28
91,13
92,51
93,28
94,4
95,24
96,31
97,56
98,30
99,56
